1014_12 [58.12, 0.48433333333333334]
1014_10 [75.11999999999998, 0.6259999999999998]
1009_8 [103.28000000000002, 0.5737777777777778]
1014_15 [81.67999999999999, 0.6806666666666666]
1014_1 [80.68, 0.44822222222222224]
1009_11 [89.15999999999998, 0.7429999999999999]
1014_8 [96.44, 0.5357777777777778]
1014_9 [95.83999999999999, 0.5324444444444444]
1014_11 [89.36, 0.7446666666666667]
1009_12 [88.84, 0.7403333333333334]
1009_15 [75.68, 0.6306666666666667]
1009_6 [111.71999999999998, 0.6206666666666666]
1014_21 [61.8, 0.515]
1014_20 [84.28, 0.7023333333333334]
1014_13 [59.199999999999996, 0.4933333333333333]
1009_10 [127.68000000000004, 0.7093333333333335]
1014_16 [44.96, 0.37466666666666665]
1014_19 [61.19999999999999, 0.5099999999999999]
1014_17 [61.68000000000001, 0.514]
1014_18 [68.92, 0.5743333333333334]
1014_14 [63.800000000000004, 0.5316666666666667]
1014_3 [120.07999999999998, 0.667111111111111]
1014_7 [99.2, 0.5511111111111111]
1014_6 [84.72, 0.4706666666666667]
1009_14 [94.96, 0.7913333333333333]
1009_9 [116.19999999999999, 0.6455555555555554]
1014_2 [96.76, 0.5375555555555556]
1009_2 [133.39999999999998, 0.7411111111111109]
1009_5 [91.71999999999998, 0.5095555555555554]
1009_7 [81.83999999999997, 0.45466666666666655]
1014_4 [133.16, 0.7397777777777778]
1009_13 [83.48, 0.6956666666666667]
1014_5 [90.80000000000003, 0.5044444444444446]
1009_4 [87.44, 0.48577777777777775]

2993.1999999999994 
0.5869019607843136
